episode,mean_reward,total_reward,decay_factor,evaluation_reward_greedy_mean,evaluation_reward_greedy_std,moving_avg_train_reward,total_shaped_reward,total_sparse_reward,moving_avg_shaped_reward,moving_avg_sparse_reward
35,0.0,0.0,0.9970833333333333,0.0,0.0,30.510486111111113,0.0,0,30.555555555555557,0.0
36,0.14955,59.82,0.997,0.0,0.0,31.302635135135134,60.0,0,31.35135135135135,0.0
37,0.0,0.0,0.9969166666666667,0.0,0.0,30.47888157894737,0.0,0,30.526315789473685,0.0
38,0.07476250000000001,29.905,0.9968333333333333,0.0,0.0,30.464166666666667,30.0,0,30.512820512820515,0.0
39,0.0,0.0,0.99675,0.0,0.0,29.7025625,0.0,0,29.75,0.0
40,0.0,0.0,0.9966666666666667,0.0,0.0,28.97810975609756,0.0,0,29.024390243902438,0.0
41,0.07474375,29.8975,0.9965833333333334,0.0,0.0,29.0,30.0,0,29.047619047619047,0.0
42,0.0,0.0,0.9965,0.0,0.0,28.325581395348838,0.0,0,28.372093023255815,0.0
43,0.0,0.0,0.9964166666666666,0.0,0.0,27.681818181818183,0.0,0,27.727272727272727,0.0
44,0.0,0.0,0.9963333333333333,0.0,0.0,27.066666666666666,0.0,0,27.11111111111111,0.0
45,0.0,0.0,0.99625,0.0,0.0,26.47826086956522,0.0,0,26.52173913043478,0.0
46,0.0,0.0,0.9961666666666666,0.0,0.0,25.914893617021278,0.0,0,25.95744680851064,0.0
47,0.1494125,59.765,0.9960833333333333,0.0,0.0,26.620104166666664,60.0,0,26.666666666666668,0.0
48,0.0,0.0,0.996,0.0,0.0,26.076836734693874,0.0,0,26.122448979591837,0.0
49,0.07469375,29.8775,0.9959166666666667,0.0,0.0,26.152849999999997,30.0,0,26.2,0.0
50,0.0746875,29.875,0.9958333333333333,0.0,0.0,26.22583333333333,30.0,0,26.274509803921568,0.0
51,0.1493625,59.745000000000005,0.99575,0.0,0.0,26.870432692307688,60.0,0,26.923076923076923,0.0
52,0.0,0.0,0.9956666666666667,0.0,0.0,26.363443396226412,0.0,0,26.41509433962264,0.0
53,0.07466875,29.8675,0.9955833333333334,0.0,0.0,26.42833333333333,30.0,0,26.48148148148148,0.0
54,0.0,0.0,0.9955,0.0,0.0,25.947818181818178,0.0,0,26.0,0.0
55,0.0,0.0,0.9954166666666666,0.0,0.0,25.484464285714285,0.0,0,25.535714285714285,0.0
56,0.0,0.0,0.9953333333333333,0.0,0.0,25.03736842105263,0.0,0,25.087719298245613,0.0
57,0.07464375,29.857499999999998,0.99525,0.0,0.0,25.120474137931033,30.0,0,25.17241379310345,0.0
58,0.12439583333333333,49.75833333333333,0.9951666666666666,0.0,0.0,25.538064971751414,50.0,0,25.593220338983052,0.0
