episode,layout,mean_reward,total_reward,decay_factor,evaluation_reward_greedy_mean,evaluation_reward_greedy_std,moving_avg_train_reward,total_shaped_reward,total_sparse_reward,moving_avg_shaped_reward,moving_avg_sparse_reward
21,asymmetric_advantages,0.0,0.0,0.9988333333333334,0.0,0.0,29.98007575757576,0.0,0,30.0,0.0
22,forced_coordination,0.07490833333333333,29.96333333333333,0.9987777777777778,0.0,0.0,29.97934782608696,30.0,0,30.0,0.0
23,cramped_room,0.14980833333333332,59.92333333333333,0.9987222222222222,0.0,0.0,31.22701388888889,60.0,0,31.25,0.0
24,asymmetric_advantages,0.0,0.0,0.9986666666666667,0.0,0.0,29.977933333333336,0.0,0,30.0,0.0
25,forced_coordination,0.0,0.0,0.9986111111111111,0.0,0.0,28.8249358974359,0.0,0,28.846153846153847,0.0
26,cramped_room,0.07489166666666666,29.956666666666667,0.9985555555555555,0.0,0.0,28.866851851851855,30.0,0,28.88888888888889,0.0
27,forced_coordination,0.07488750000000001,29.955000000000002,0.9985,0.0,0.0,28.90571428571429,30.0,0,28.928571428571427,0.0
28,forced_coordination,0.07488333333333333,29.953333333333333,0.9984444444444445,0.0,0.0,28.941839080459776,30.0,0,28.96551724137931,0.0
29,asymmetric_advantages,0.0,0.0,0.9983888888888889,0.0,0.0,27.977111111111117,0.0,0,28.0,0.0
30,asymmetric_advantages,0.0,0.0,0.9983333333333333,0.0,0.0,27.074623655913985,0.0,0,27.096774193548388,0.0
31,cramped_room,0.0,0.0,0.9982777777777778,0.0,0.0,26.22854166666667,0.0,0,26.25,0.0
32,forced_coordination,0.14973333333333333,59.89333333333333,0.9982222222222222,0.0,0.0,27.24868686868687,60.0,0,27.272727272727273,0.0
33,cramped_room,0.0,0.0,0.9981666666666666,0.0,0.0,26.447254901960786,0.0,0,26.470588235294116,0.0
34,forced_coordination,0.14971666666666666,59.88666666666666,0.9981111111111111,0.0,0.0,27.40266666666667,60.0,0,27.428571428571427,0.0
35,asymmetric_advantages,0.07485416666666667,29.941666666666666,0.9980555555555556,0.0,0.0,27.473194444444445,30.0,0,27.5,0.0
36,cramped_room,0.0,0.0,0.998,0.0,0.0,26.730675675675677,0.0,0,26.756756756756758,0.0
37,asymmetric_advantages,0.0,0.0,0.9979444444444444,0.0,0.0,26.027236842105264,0.0,0,26.05263157894737,0.0
38,cramped_room,0.07484166666666667,29.936666666666667,0.9978888888888889,0.0,0.0,26.127478632478635,30.0,0,26.153846153846153,0.0
39,asymmetric_advantages,0.0,0.0,0.9978333333333333,0.0,0.0,25.474291666666666,0.0,0,25.5,0.0
40,asymmetric_advantages,0.0,0.0,0.9977777777777778,0.0,0.0,24.8529674796748,0.0,0,24.878048780487806,0.0
41,asymmetric_advantages,0.0,0.0,0.9977222222222222,0.0,0.0,24.26123015873016,0.0,0,24.285714285714285,0.0
42,cramped_room,0.074825,29.93,0.9976666666666667,0.0,0.0,24.393062015503876,30.0,0,24.41860465116279,0.0
43,cramped_room,0.0,0.0,0.9976111111111111,0.0,0.0,23.838674242424243,0.0,0,23.863636363636363,0.0
44,cramped_room,0.07481666666666667,29.926666666666666,0.9975555555555555,0.0,0.0,23.973962962962965,30.0,0,24.0,0.0
45,forced_coordination,0.149625,59.85,0.9975,0.0,0.0,24.753876811594203,60.0,0,24.782608695652176,0.0
46,cramped_room,0.0,0.0,0.9974444444444445,0.0,0.0,24.227198581560284,0.0,0,24.25531914893617,0.0
47,forced_coordination,0.0,0.0,0.9973888888888889,0.0,0.0,23.722465277777776,0.0,0,23.75,0.0
48,forced_coordination,0.0,0.0,0.9973333333333333,0.0,0.0,23.238333333333333,0.0,0,23.26530612244898,0.0
49,forced_coordination,0.07479583333333334,29.918333333333333,0.9972777777777778,0.0,0.0,23.37193333333333,30.0,0,23.4,0.0
